car_id,car_type,color,year,km,average_price,transmission,body_type
0,Toyota_Supra_2020,Blue,2020,25848512,194799,Manual,Sedan
112,Toyota_Supra_2020,Black,2020,25913421,194799,Manual,Sedan
1497,Toyota_Supra_2020,Black,2020,24069281,194799,Manual,Sedan
1955,Toyota_Supra_2020,Black,2020,25620849,194799,Manual,Sedan
2435,Toyota_Supra_2020,Blue,2020,19606492,194799,Manual,Sedan
3640,Toyota_Supra_2020,Black,2020,27858456,194799,Manual,Sedan
4405,Toyota_Supra_2020,White,2020,24583516,194799,Manual,Sedan
4960,Toyota_Supra_2020,Blue,2020,22479135,194799,Manual,Sedan
5319,Toyota_Supra_2020,Red,2020,21967467,194799,Manual,Sedan
5487,Toyota_Supra_2020,White,2020,26608237,194799,Manual,Sedan
6042,Toyota_Supra_2020,White,2020,22982999,194799,Manual,Sedan
7227,Toyota_Supra_2020,Black,2020,19197032,194799,Manual,Sedan
7647,Toyota_Supra_2020,White,2020,18838728,194799,Manual,Sedan
7657,Toyota_Supra_2020,White,2020,23090004,194799,Manual,Sedan
8366,Toyota_Supra_2020,White,2020,25009617,194799,Manual,Sedan
10613,Toyota_Supra_2020,Black,2020,25215034,194799,Manual,Sedan
12883,Toyota_Supra_2020,White,2020,26590109,194799,Manual,Sedan
13347,Toyota_Supra_2020,Black,2020,21331856,194799,Manual,Sedan
14175,Toyota_Supra_2020,Black,2020,19633995,194799,Manual,Sedan
15324,Toyota_Supra_2020,Blue,2020,25798690,194799,Manual,Sedan
16214,Toyota_Supra_2020,White,2020,26363769,194799,Manual,Sedan
17054,Toyota_Supra_2020,Black,2020,25754878,194799,Manual,Sedan
18588,Toyota_Supra_2020,White,2020,22290793,194799,Manual,Sedan
19847,Toyota_Supra_2020,Red,2020,22239253,194799,Manual,Sedan
1,Volkswagen_Passat_2008,White,2008,14279745,230948,Automatic,SUV
1736,Volkswagen_Passat_2008,Black,2008,15224728,230948,Automatic,SUV
1782,Volkswagen_Passat_2008,Black,2008,7711404,230948,Automatic,SUV
2666,Volkswagen_Passat_2008,Red,2008,12849690,230948,Automatic,SUV
4702,Volkswagen_Passat_2008,Black,2008,11057930,230948,Automatic,SUV
6438,Volkswagen_Passat_2008,Red,2008,7600638,230948,Automatic,SUV
7938,Volkswagen_Passat_2008,White,2008,8597372,230948,Automatic,SUV
10366,Volkswagen_Passat_2008,Blue,2008,9906948,230948,Automatic,SUV
11243,Volkswagen_Passat_2008,Black,2008,6055367,230948,Automatic,SUV
11854,Volkswagen_Passat_2008,Blue,2008,7840075,230948,Automatic,SUV
12266,Volkswagen_Passat_2008,Blue,2008,13584306,230948,Automatic,SUV
13466,Volkswagen_Passat_2008,Blue,2008,14877528,230948,Automatic,SUV
16503,Volkswagen_Passat_2008,White,2008,6864728,230948,Automatic,SUV
16627,Volkswagen_Passat_2008,Red,2008,7511530,230948,Automatic,SUV
18501,Volkswagen_Passat_2008,Black,2008,11288359,230948,Automatic,SUV
19507,Volkswagen_Passat_2008,White,2008,12577586,230948,Automatic,SUV
2,Volkswagen_Transporter_2014,Red,2014,27441875,428016,Automatic,Sedan
2568,Volkswagen_Transporter_2014,White,2014,26432678,428016,Automatic,Sedan
7072,Volkswagen_Transporter_2014,Red,2014,22740817,428016,Automatic,Sedan
8033,Volkswagen_Transporter_2014,Red,2014,30637807,428016,Automatic,Sedan
8539,Volkswagen_Transporter_2014,Black,2014,28765196,428016,Automatic,Sedan
9913,Volkswagen_Transporter_2014,Black,2014,29288092,428016,Automatic,Sedan
9942,Volkswagen_Transporter_2014,Blue,2014,29045194,428016,Automatic,Sedan
15192,Volkswagen_Transporter_2014,Black,2014,26945340,428016,Automatic,Sedan
17090,Volkswagen_Transporter_2014,Black,2014,30230445,428016,Automatic,Sedan
17532,Volkswagen_Transporter_2014,Blue,2014,30600343,428016,Automatic,Sedan
18279,Volkswagen_Transporter_2014,White,2014,22635417,428016,Automatic,Sedan
3,Nissan_Tiida_2015,White,2015,28416987,689138,Automatic,Sedan
1441,Nissan_Tiida_2015,Black,2015,31809483,689138,Automatic,Sedan
5610,Nissan_Tiida_2015,Red,2015,32649783,689138,Automatic,Sedan
8502,Nissan_Tiida_2015,Blue,2015,28166678,689138,Automatic,Sedan
8884,Nissan_Tiida_2015,Red,2015,27823945,689138,Automatic,Sedan
8889,Nissan_Tiida_2015,Black,2015,35116825,689138,Automatic,Sedan
11394,Nissan_Tiida_2015,Black,2015,33097213,689138,Automatic,Sedan
12887,Nissan_Tiida_2015,Black,2015,33897936,689138,Automatic,Sedan
13315,Nissan_Tiida_2015,Black,2015,34269355,689138,Automatic,Sedan
15728,Nissan_Tiida_2015,Blue,2015,27515255,689138,Automatic,Sedan
16211,Nissan_Tiida_2015,Blue,2015,30481700,689138,Automatic,Sedan
17142,Nissan_Tiida_2015,White,2015,32620213,689138,Automatic,Sedan
17909,Nissan_Tiida_2015,Blue,2015,27662341,689138,Automatic,Sedan
748,Mitsubishi_Outlander_2009,Blue,2009,48329633,992179,Automatic,Sedan
1339,Mitsubishi_Outlander_2009,Red,2009,46554994,992179,Automatic,Sedan
1344,Mitsubishi_Outlander_2009,White,2009,41871536,992179,Automatic,Sedan
4469,Mitsubishi_Outlander_2009,Orange,2009,43773799,992179,Automatic,Sedan
6992,Mitsubishi_Outlander_2009,Black,2009,44636821,992179,Automatic,Sedan
9009,Mitsubishi_Outlander_2009,Black,2009,46442508,992179,Automatic,Sedan
9084,Mitsubishi_Outlander_2009,Blue,2009,48209924,992179,Automatic,Sedan
10612,Mitsubishi_Outlander_2009,Red,2009,43460866,992179,Automatic,Sedan
11551,Mitsubishi_Outlander_2009,Black,2009,48822502,992179,Automatic,Sedan
11849,Mitsubishi_Outlander_2009,Black,2009,42710024,992179,Automatic,Sedan
13494,Mitsubishi_Outlander_2009,Black,2009,49061130,992179,Automatic,Sedan
13909,Mitsubishi_Outlander_2009,Blue,2009,47562129,992179,Automatic,Sedan
14434,Mitsubishi_Outlander_2009,Black,2009,46933602,992179,Automatic,Sedan
19247,Mitsubishi_Outlander_2009,Red,2009,43964748,992179,Automatic,Sedan
