car_id,car_type,color,year,km
0,Toyota_Supra_2020,Blue,2020,25848512
112,Toyota_Supra_2020,Black,2020,25913421
1497,Toyota_Supra_2020,Black,2020,24069281
1891,Toyota_Supra_2020,Blue,2020,21828354
1955,Toyota_Supra_2020,Black,2020,25620849
2435,Toyota_Supra_2020,Blue,2020,19606492
2645,Toyota_Supra_2020,White,2020,21322640
3640,Toyota_Supra_2020,Black,2020,27858456
3743,Toyota_Supra_2020,Red,2020,20518362
4405,Toyota_Supra_2020,White,2020,24583516
4960,Toyota_Supra_2020,Blue,2020,22479135
5083,Toyota_Supra_2020,Black,2020,27073159
5319,Toyota_Supra_2020,Red,2020,21967467
5487,Toyota_Supra_2020,White,2020,26608237
6042,Toyota_Supra_2020,White,2020,22982999
7156,Toyota_Supra_2020,Red,2020,21071772
7227,Toyota_Supra_2020,Black,2020,19197032
7647,Toyota_Supra_2020,White,2020,18838728
7657,Toyota_Supra_2020,White,2020,23090004
8162,Toyota_Supra_2020,Blue,2020,24400569
8366,Toyota_Supra_2020,White,2020,25009617
10613,Toyota_Supra_2020,Black,2020,25215034
11436,Toyota_Supra_2020,Red,2020,21080514
12883,Toyota_Supra_2020,White,2020,26590109
13253,Toyota_Supra_2020,Black,2020,24149145
13347,Toyota_Supra_2020,Black,2020,21331856
14175,Toyota_Supra_2020,Black,2020,19633995
15324,Toyota_Supra_2020,Blue,2020,25798690
16214,Toyota_Supra_2020,White,2020,26363769
17054,Toyota_Supra_2020,Black,2020,25754878
17495,Toyota_Supra_2020,Black,2020,18865426
18588,Toyota_Supra_2020,White,2020,22290793
19780,Toyota_Supra_2020,White,2020,26141271
19847,Toyota_Supra_2020,Red,2020,22239253
1,Volkswagen_Passat_2008,White,2008,14279745
287,Volkswagen_Passat_2008,Black,2008,9946556
572,Volkswagen_Passat_2008,White,2008,10268834
1736,Volkswagen_Passat_2008,Black,2008,15224728
1782,Volkswagen_Passat_2008,Black,2008,7711404
2148,Volkswagen_Passat_2008,Red,2008,13208147
2666,Volkswagen_Passat_2008,Red,2008,12849690
4702,Volkswagen_Passat_2008,Black,2008,11057930
6438,Volkswagen_Passat_2008,Red,2008,7600638
7938,Volkswagen_Passat_2008,White,2008,8597372
